latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
11.734,-14.947,315.3,1.4,1.2,2017-05-07,02:55,A,91,6.0NRT,292.9,20.4
11.391,-14.536,312.6,1.5,1.2,2017-05-07,02:55,A,85,6.0NRT,292.1,19.5
35.722,44.047,327.8,2.9,1.6,2017-05-07,07:15,T,65,6.0NRT,304.6,72
35.721,44.04,327,2.9,1.6,2017-05-07,07:15,T,70,6.0NRT,304.3,70.1
35.666,43.971,320.2,2.9,1.6,2017-05-07,07:15,T,45,6.0NRT,304.3,37.6
31.832,5.971,322.3,1.5,1.2,2017-05-07,01:10,A,100,6.0NRT,294.8,35
31.664,6.043,304.7,1.4,1.2,2017-05-07,01:10,A,52,6.0NRT,294,9
31.662,6.058,336.4,1.4,1.2,2017-05-07,01:10,A,100,6.0NRT,296.2,64
31.593,5.949,304.8,1.5,1.2,2017-05-07,01:10,A,62,6.0NRT,292.5,12.1
31.591,5.965,315.6,1.5,1.2,2017-05-07,01:10,A,92,6.0NRT,292.8,25.9
31.398,6.942,300.1,1.3,1.1,2017-05-07,01:10,A,17,6.0NRT,282.2,6.8
31.192,6.789,307.3,1.3,1.1,2017-05-07,01:10,A,71,6.0NRT,291.5,11.8
31.014,8.165,306.5,1.1,1.1,2017-05-07,01:10,A,68,6.0NRT,293.8,9
28.638,9.79,301.6,1,1,2017-05-07,01:10,A,43,6.0NRT,291.1,5.7
28.689,7.2,306.1,1.2,1.1,2017-05-07,01:10,A,67,6.0NRT,294.4,8.6
28.622,7.714,305.2,1.1,1,2017-05-07,01:10,A,63,6.0NRT,293.7,6.5
27.766,9.198,308.4,1,1,2017-05-07,01:10,A,74,6.0NRT,292.1,9.2
26.578,12.218,303.1,1.2,1.1,2017-05-07,01:10,A,53,6.0NRT,292.4,7.8
16.833,42.035,313.1,2.3,1.5,2017-05-07,07:25,T,40,6.0NRT,296.2,19.6
16.127,39.455,312.1,3.5,1.8,2017-05-07,07:25,T,47,6.0NRT,292.6,42.8
